A Tenable Letter Boxed Solution.

Time: 20200821145537805795

X,W,M,A,S,T,E,H,P,U,O,Y,

HOT, TUXES, SWAMPY
WAYS, SEXPOT, THUMP
WAYS, SEXPOT, THUMPS
WAYS, SEXPOT, THYMUS
MAWS, SEXPOT, TUSHY
MAWS, SEXPOT, THYMUS
AWES, SEXPOT, THYMUS
AUTH, HOAXES, SWAMPY
SHOT, TUXES, SWAMPY
TUSH, HOAXES, SWAMPY
HAWS, SEXPOT, THYMUS
PAWS, SEXPOT, THYMUS
YAWS, SEXPOT, THUMP
YAWS, SEXPOT, THUMPS
YAWS, SEXPOT, THYMUS
WAXES, SPOT, THYMUS
WAXES, SEXPOT, THYMUS
WHAMS, SEXPOT, TUSHY
WHAMS, SEXPOT, THYMUS
WHAPS, SEXPOT, THYMUS
WHOMP, PAYT, TUXES
WHOMP, PAXES, SUETY
WYETH, HOAXES, SUMP
WYETH, HOAXES, SPUME
WYETH, HOAXES, SPUMY
MUSHY, YAWS, SEXPOT
MUSHY, YAWPS, SEXPOT
SHUTE, EXPOS, SWAMPY
THAWS, SEXPOT, THYMUS
THUMP, PAXES, SHOWY
THUMP, POXES, SWAY
THUMP, POXES, SWAMPY
THUMP, PYXES, SHOWA
HUMPY, YAWS, SEXPOT
HUMPY, YAWPS, SEXPOT
PAXES, SWUM, MOTHY
PAXES, SWUM, MYTHOS
PAXES, SWOT, THYMUS
POWYS, SHUTE, EXAM
POWYS, SHUTE, EXAMS
YAWPS, SEXPOT, THUMP
YAWPS, SEXPOT, THUMPS
YAWPS, SEXPOT, THYMUS
SEXPOT, THUS, SWAMPY
SEXPOT, TUSH, HAYMOW
SEXPOT, THAWS, SUMY
SEXPOT, THAWS, SPUMY
SEXPOT, THUMPS, SWAY
SEXPOT, THUMPS, SWAMPY
SEXPOT, THYMUS, SWAM
SEXPOT, THYMUS, SWAP
SEXPOT, THYMUS, SWAY
SEXPOT, THYMUS, SHAW
SEXPOT, THYMUS, SWAMP
SEXPOT, THYMUS, SHOWA
SEXPOT, THYMUS, SWAMPY
THYMUS, SWAP, POXES
THYMUS, SWAMP, POXES
THYMUS, SEXPOT, TWA
THYMUS, SEXPOT, THAW
THYMUS, SEXPOT, THAWS
HAYMOW, WAXES, SUPT
HAYMOW, WAXES, SETUP
HAYMOW, WHUPS, SEXT
HAYMOW, WHUPS, SEXPOT
HOAXES, SMUT, TYPW
UPSHOT, TUXES, SWAMPY
